,m,m_unit,v,v_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,vol,vol_unit,x,x_unit,s,s_unit,S800,PHE,Water
source:out1_boiler:in1,100.0,kg / s,0.10392670186561417,m3 / s,2.0,bar,100.0,kJ / kg,46.94571580233958,C,0.0,C,0.0010392670186561417,m3 / kg,0.0,-,326.0023871536029,J / kgK,0.05,0.15,0.8
boiler:out1_press:in1,100.0,kg / s,0.10392670186561417,m3 / s,2.0,bar,100.0,kJ / kg,46.94571580233958,C,0.0,C,0.0010392670186561417,m3 / kg,0.0,-,326.0023871536029,J / kgK,0.05,0.15,0.8
press:out1_liquidmerge:in1,7.777777777777778,kg / s,0.008221058787004496,m3 / s,2.0,bar,78.66612649955471,kJ / kg,46.94571580233952,C,0.0,C,0.0010569932726148638,m3 / kg,0.0,-,256.3696338669534,J / kgK,0.45,0.05,0.5
press:out2_decanter:in1,92.22222222222223,kg / s,0.09570564307860968,m3 / s,2.0,bar,101.79924234341104,kJ / kg,46.94571580233952,C,0.0,C,0.0010377720333825146,m3 / kg,0.0,-,331.87502899705527,J / kgK,0.016265060240963854,0.158433734939759,0.8253012048192772
decanter:out1_liquidmerge:in2,1.2857142857142858,kg / s,0.0013476962897216464,m3 / s,2.0,bar,85.51182358236197,kJ / kg,46.94571580233952,C,0.0,C,0.0010482082253390583,m3 / kg,0.0,-,278.7159180028207,J / kgK,0.35,0.05,0.6
decanter:out2_centrifuge:in1,90.93650793650794,kg / s,0.09435794678888804,m3 / s,2.0,bar,102.02952353029268,kJ / kg,46.94571580233952,C,0.0,C,0.0010376244803106905,m3 / kg,0.0,-,332.6266240381677,J / kgK,0.011546517716879038,0.15996683539884796,0.8284866468842731
centrifuge:out1_thickener:in1,79.18149751483085,kg / s,0.08046317117410214,m3 / s,2.0,bar,109.46751182641475,kJ / kg,46.94571580233952,C,0.0,C,0.0010161865296754613,m3 / kg,0.0,-,356.9149649956258,J / kgK,0.011776108371890534,0.03674299136386185,0.9514809002642476
centrifuge:out2_oil:in1,11.755010421677088,kg / s,0.013894775614785896,m3 / s,2.0,bar,51.92739425453574,kJ / kg,46.94571580233958,C,0.0,C,0.0011820300549596219,m3 / kg,0.0,-,169.02088145066307,J / kgK,0.01,0.99,0.0
thickener:out1_liquidmerge:in3,11.637460317460315,kg / s,0.012327881012709246,m3 / s,2.0,bar,91.88882840645775,kJ / kg,46.94571580233952,C,0.0,C,0.0010593274371224325,m3 / kg,0.0,-,299.5182167574658,J / kgK,0.08012486146863364,0.25,0.6698751385313665
thickener:out2_vapourextract1:in1,67.54403719737054,kg / s,0.0681352901613929,m3 / s,2.0,bar,112.49622078757946,kJ / kg,46.94571580233952,C,0.0,C,0.0010087535923014885,m3 / kg,,-,366.8041041067663,J / kgK,0.0,0.0,1.0
liquidmerge:out1_drier:in1,20.70095238095238,kg / s,0.02189663608943539,m3 / s,2.0,bar,86.5247156249476,kJ / kg,46.94571580233952,C,0.0,C,0.0010577598405367666,m3 / kg,0.0,-,282.01438914775736,J / kgK,0.23585629327256122,0.16243405717089926,0.6017096495565396
drier:out1_meal:in1,9.1610995314699,kg / s,0.010255768072889368,m3 / s,2.0,bar,53.809499855616984,kJ / kg,46.94571580233952,C,0.0,C,0.0011194909560428964,m3 / kg,0.0,-,175.20834142222498,J / kgK,0.5329545737398881,0.367045426260112,0.1
drier:out2_vapourextract2:in1,11.53985284948248,kg / s,0.01164086801654602,m3 / s,2.0,bar,112.49622078757945,kJ / kg,46.94571580233952,C,0.0,C,0.0010087535923014885,m3 / kg,,-,366.8041041067663,J / kgK,0.0,0.0,1.0
