,m,m_unit,v,v_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,vol,vol_unit,x,x_unit,s,s_unit,S800,Water,PHE
source:out1_boiler:in1,100.0,kg / s,0.10244903431560048,m3 / s,5.0,bar,11.927817356454685,kJ / kg,4.999999999986585,C,-146.8310791030812,C,0.0010244903431560048,m3 / kg,0.0,-,42.1753430798432,J / kgK,0.05,0.8,0.15
boiler:out1_press:in1,100.0,kg / s,0.10731885384290363,m3 / s,5.0,bar,347.73276629402903,kJ / kg,95.00000000000261,C,-56.83107910306518,C,0.0010731885384290363,m3 / kg,0.0,-,1087.6845264099145,J / kgK,0.05,0.8,0.15
press:out1_liquidmerge:in1,23.333333333333332,kg / s,0.026160149686381987,m3 / s,5.0,bar,242.16768988793567,kJ / kg,85.00000000000057,C,-66.83107910306722,C,0.0011211492722735137,m3 / kg,0.0,-,763.1933790048797,J / kgK,0.05,0.5,0.45
press:out2_presswaterheater:in1,76.66666666666667,kg / s,0.0803804407956943,m3 / s,5.0,bar,330.68836545439535,kJ / kg,85.00000000000426,C,-66.83107910306353,C,0.0010484405321177516,m3 / kg,0.0,-,1051.0286927194445,J / kgK,0.04999999999999999,0.8913043478260869,0.05869565217391304
presswaterheater:out1_decanter:in1,76.66666666666667,kg / s,0.08096049019323556,m3 / s,5.0,bar,370.27846724430117,kJ / kg,95.00000000000495,C,-56.83107910306285,C,0.0010560063938248117,m3 / kg,0.0,-,1160.053457653377,J / kgK,0.04999999999999999,0.8913043478260869,0.05869565217391304
decanter:out1_liquidmerge:in2,3.8571428571428577,kg / s,0.004268479211824418,m3 / s,5.0,bar,281.54439230506006,kJ / kg,89.99999999999983,C,-61.831079103067964,C,0.0011066427586211452,m3 / kg,0.0,-,883.2089826934339,J / kgK,0.05,0.6,0.35
decanter:out2_centrifuge:in1,72.80952380952381,kg / s,0.07639654564835216,m3 / s,5.0,bar,354.12058245225813,kJ / kg,90.00000000000034,C,-61.83107910306745,C,0.0010492658329727897,m3 / kg,0.0,-,1117.6733425160814,J / kgK,0.05,0.9067364290385873,0.0432635709614127
centrifuge:out1_thickener:in1,69.86772486772487,kg / s,0.07114264015923918,m3 / s,5.0,bar,181.05101285511884,kJ / kg,45.000000000011994,C,-106.8310791030558,C,0.0010182475569932756,m3 / kg,0.0,-,611.6350715146631,J / kgK,0.010421052631578945,0.9449148049981068,0.04466414237031428
centrifuge:out2_oil:in1,2.941798941798942,kg / s,0.0033352426909451405,m3 / s,5.0,bar,100.0781863246528,kJ / kg,79.99999999999994,C,-71.83107910306785,C,0.0011337425694040136,m3 / kg,0.0,-,308.9315041090459,J / kgK,0.99,0.0,0.01
thickener:out1_liquidmerge:in3,12.482328042328042,kg / s,0.013748836912735735,m3 / s,5.0,bar,356.3626845089672,kJ / kg,104.99999999999858,C,-46.831079103069214,C,0.0011014641552531638,m3 / kg,0.0,-,1096.5687083290277,J / kgK,0.05833008358907411,0.6916699164109258,0.25
thickener:out2_vapourextract1:in1,57.385396825396825,kg / s,0.060096661478604874,m3 / s,5.0,bar,440.55426498767247,kJ / kg,104.99999999999773,C,-46.83107910307007,C,0.0010472465958797402,m3 / kg,-1.0,-,1363.039002179117,J / kgK,0.0,1.0,0.0
liquidmerge:out1_drier:in1,39.67280423280423,kg / s,0.044193935239153596,m3 / s,5.0,bar,281.925427729251,kJ / kg,92.28684488833983,C,-59.544234214727965,C,0.0011139604596594405,m3 / kg,0.0,-,880.7937574528644,J / kgK,0.052620909663170706,0.5700278468317559,0.3773512435050734
drier:out1_meal:in1,18.95355673133452,kg / s,0.022841343955262276,m3 / s,5.0,bar,184.93088408428306,kJ / kg,100.00000000000051,C,-51.83107910306728,C,0.0012051217762996623,m3 / kg,0.0,-,559.4856087857008,J / kgK,0.1101439205955335,0.1,0.7898560794044664
drier:out2_vapourextract2:in1,20.719247501469713,kg / s,34.63773627778022,m3 / s,1.0141799665682765,bar,2675.569884418101,kJ / kg,99.999999999137,C,0.0,C,1.6717661331727036,m3 / kg,1.0,-,7354.1191457120685,J / kgK,0.0,1.0,0.0
