,m,m_unit,v,v_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,vol,vol_unit,x,x_unit,s,s_unit,S800,Water,PHE
source:out1_boiler:in1,100.0,kg / s,0.10392670186561417,m3 / s,2.0,bar,100.0,kJ / kg,46.94571580233958,C,0.0,C,0.0010392670186561417,m3 / kg,0.0,-,326.0023871536029,J / kgK,0.05,0.8,0.15
boiler:out1_press:in1,100.0,kg / s,0.10392670186561417,m3 / s,2.0,bar,100.0,kJ / kg,46.94571580233958,C,0.0,C,0.0010392670186561417,m3 / kg,0.0,-,326.0023871536029,J / kgK,0.05,0.8,0.15
press:out1_liquidmerge:in1,7.777777777777778,kg / s,0.008221058787004496,m3 / s,2.0,bar,78.66612649955468,kJ / kg,46.94571580233952,C,0.0,C,0.0010569932726148638,m3 / kg,0.0,-,256.3696338669534,J / kgK,0.45,0.5,0.05
press:out2_decanter:in1,92.22222222222223,kg / s,0.09570564307860968,m3 / s,2.0,bar,101.79924234341104,kJ / kg,46.94571580233952,C,0.0,C,0.0010377720333825146,m3 / kg,0.0,-,331.87502899705527,J / kgK,0.016265060240963854,0.8253012048192772,0.158433734939759
decanter:out1_liquidmerge:in2,1.2857142857142858,kg / s,0.0013476962897216464,m3 / s,2.0,bar,85.51182358236196,kJ / kg,46.94571580233952,C,0.0,C,0.0010482082253390583,m3 / kg,0.0,-,278.7159180028207,J / kgK,0.35,0.6,0.05
decanter:out2_centrifuge:in1,90.93650793650794,kg / s,0.09435794678888801,m3 / s,2.0,bar,102.02952353029268,kJ / kg,46.94571580233952,C,0.0,C,0.0010376244803106903,m3 / kg,0.0,-,332.6266240381676,J / kgK,0.011546517716879036,0.828486646884273,0.15996683539884796
centrifuge:out1_thickener:in1,79.18149751483085,kg / s,0.08046317117410211,m3 / s,2.0,bar,109.46751182641476,kJ / kg,46.94571580233952,C,0.0,C,0.0010161865296754611,m3 / kg,0.0,-,356.9149649956258,J / kgK,0.011776108371890531,0.9514809002642475,0.03674299136386184
centrifuge:out2_oil:in1,11.755010421677088,kg / s,0.013894775614785896,m3 / s,2.0,bar,51.92739425453577,kJ / kg,46.94571580233958,C,0.0,C,0.0011820300549596219,m3 / kg,0.0,-,169.02088145066307,J / kgK,0.01,0.0,0.99
thickener:out1_liquidmerge:in3,11.637460317460313,kg / s,0.012327881012709239,m3 / s,2.0,bar,91.88882840645772,kJ / kg,46.94571580233952,C,0.0,C,0.001059327437122432,m3 / kg,0.0,-,299.5182167574656,J / kgK,0.08012486146863373,0.6698751385313659,0.25
thickener:out2_vapourextract1:in1,67.54403719737054,kg / s,0.0681352901613929,m3 / s,2.0,bar,112.49622078757952,kJ / kg,46.94571580233952,C,0.0,C,0.0010087535923014885,m3 / kg,,-,366.8041041067663,J / kgK,0.0,1.0,0.0
liquidmerge:out1_drier:in1,20.70095238095238,kg / s,0.02189663608943539,m3 / s,2.0,bar,86.52471562494758,kJ / kg,46.94571580233952,C,0.0,C,0.0010577598405367666,m3 / kg,0.0,-,282.0143891477573,J / kgK,0.23585629327256138,0.6017096495565393,0.16243405717089932
drier:out1_meal:in1,9.161099531469914,kg / s,0.010255768072889382,m3 / s,2.0,bar,53.80949985561704,kJ / kg,46.94571580233958,C,0.0,C,0.0011194909560428962,m3 / kg,0.0,-,175.2083414222269,J / kgK,0.532954573739888,0.1,0.36704542626011183
drier:out2_vapourextract2:in1,11.539852849482465,kg / s,0.011640868016546005,m3 / s,2.0,bar,112.49622078757943,kJ / kg,46.94571580233952,C,0.0,C,0.0010087535923014885,m3 / kg,,-,366.8041041067663,J / kgK,0.0,1.0,0.0
