id;source;source_id;target;target_id;label;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;water;water0;water_set;balance
0x7fe26791f910;cycle closer;out1;condenser;in1;cycle closer:out1_condenser:in1;[];[];nan;False;False;0.0030709307580440597;kg / s;0.0030709307580440597;False;nan;nan;nan;False;17.816745363507064;bar;17.816745363507064;False;nan;nan;nan;False;1861.6379919856217;kJ / kg;1861.6379919856217;False;nan;nan;nan;False;121.86981882262683;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.0003101993013448296;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7fe26791fc40;condenser;out1;valve;in1;condenser:out1_valve:in1;[];[];nan;False;False;0.0030709307580440597;kg / s;0.0030709307580440597;False;nan;nan;nan;False;17.63857790987199;bar;17.63857790987199;False;nan;nan;nan;False;559.1012970366005;kJ / kg;559.1012970366005;False;nan;nan;nan;False;44.625783829099475;C;nan;False;nan;nan;nan;False;-1.3875863649657628e-15;-;nan;False;nan;nan;nan;False;5.36839706678175e-06;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7fe26791fe80;valve;out1;evaporator;in2;valve:out1_evaporator:in2;[];[];nan;False;False;0.0030709307580440597;kg / s;0.0030709307580440597;False;nan;nan;nan;False;4.795532482027323;bar;4.795532482027323;False;nan;nan;nan;False;559.1012970366005;kJ / kg;559.1012970366005;False;nan;nan;nan;False;2.999999999996305;C;nan;False;nan;nan;nan;False;0.1594992333665328;-;nan;False;nan;nan;nan;False;0.00013164051105802257;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7fe26775c100;evaporator;out2;compressor;in1;evaporator:out2_compressor:in1;[];[];nan;False;False;0.0030709307580440597;kg / s;0.0030709307580440597;False;nan;nan;nan;False;4.747577157207049;bar;4.747577157207049;False;nan;nan;nan;False;1618.4678030960276;kJ / kg;1618.4678030960276;False;nan;nan;nan;False;5.724894205387329;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.0008194823828202642;m3 / s;nan;False;nan;nan;nan;False;3.0;C;nan;True;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7fe26775c340;compressor;out1;cycle closer;in1;compressor:out1_cycle closer:in1;[];[];nan;False;False;0.0030709307580440597;kg / s;0.0030709307580440597;False;nan;nan;nan;False;17.816745363507064;bar;17.816745363507064;False;nan;nan;nan;False;1861.6379919856213;kJ / kg;1861.6379919856213;False;nan;nan;nan;False;121.86981882262683;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.0003101993013448296;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7fe26791ea70;ground heat feed flow;out1;ground heat loop pump;in1;ground heat feed flow:out1_ground heat loop pump:in1;[];[];nan;False;False;0.25840777997102365;kg / s;0.25840777997102365;False;nan;nan;nan;False;1.5;bar;1.5;True;nan;nan;nan;False;46.360556852489346;kJ / kg;46.360556852489346;False;nan;nan;nan;False;10.999999999999204;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.00025850314872696476;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x7fe26775c760;ground heat loop pump;out1;evaporator;in1;ground heat loop pump:out1_evaporator:in1;[];[];nan;False;False;0.25840777997102365;kg / s;0.25840777997102365;False;nan;nan;nan;False;1.5151515151515151;bar;1.5151515151515151;False;nan;nan;nan;False;46.36257779919664;kJ / kg;46.36257779919664;False;nan;nan;nan;False;11.000130884716384;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.0002585029658508638;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fe26775cd00;evaporator;out1;ground heat return flow;in1;evaporator:out1_ground heat return flow:in1;[];[];nan;False;False;0.25840777997102365;kg / s;0.25840777997102365;False;nan;nan;nan;False;1.5;bar;1.5;True;nan;nan;nan;False;33.77301417280597;kJ / kg;33.77301417280597;False;nan;nan;nan;False;8.000000000005457;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.00025844020687863973;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fe26791eec0;heating system return flow;out1;heating system pump;in1;heating system return flow:out1_heating system pump:in1;[];[];nan;False;False;0.19145657052480816;kg / s;0.19145657052480816;False;nan;nan;nan;False;2.0;bar;2.0;True;nan;nan;nan;False;146.80855170267844;kJ / kg;146.80855170267844;False;nan;nan;nan;False;34.99999999999244;C;nan;True;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.00019259734414615447;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fe26775cd60;heating system pump;out1;condenser;in2;heating system pump:out1_condenser:in2;[];[];nan;False;False;0.19145657052480816;kg / s;0.19145657052480816;False;nan;nan;nan;False;2.0202020202020203;bar;2.0202020202020203;False;nan;nan;nan;False;146.81126135366938;kJ / kg;146.81126135366938;False;nan;nan;nan;False;35.00021394035497;C;nan;False;nan;nan;nan;False;-1.0;-;nan;False;nan;nan;nan;False;0.0001925971855410036;m3 / s;nan;False;nan;nan;nan;False;nan;C;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
